Code;Libellé;Nb de pers. âgées de 65 ans ou + 2020;Taux d'emploi des femmes de 25-54 ans 2020;Taux d'emploi des hommes de 25-54 ans 2020;Part des pers., dont le diplôme le plus élevé est le bepc ou le brevet, dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+2 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+3  ou BAC+4 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2020;Part des locataires HLM dans les rés. principales 2020;Part des pers. âgées de 25 à 64 ans 2020;Part des pers. âgées de 65 ans ou + 2020;Créations d'entreprises (en nombre) 2022
12280;Thérondels;156;88.6;94.5;8;10.6;7;3.6;4.2;41;39.9;4
12281;Toulonjac;168;85;91.5;4.6;12.1;7;4;0;52.8;22.5;6
12282;Tournemire;104;66.7;81.5;8.8;8.5;5.2;4.8;3.7;49.8;24.5;6
12283;Trémouilles;127;85.1;88.5;6.5;10.6;5.4;1.9;2.9;48.9;26.7;9
12284;Le Truel;94;71.1;84.7;4.8;14.3;7.3;6.2;0.6;48;27.3;2
12286;Vabres-l'Abbaye;276;83;90;5.8;12.6;7.7;5.2;0.4;49.7;22.6;6
12287;Vailhourles;170;85.8;91.2;4.6;11.1;9.7;5.5;2.7;50;26.8;6
12288;Valady;288;89.3;91.1;4.7;16.8;11.1;8.9;0.9;53.6;18.1;12
12289;Valzergues;56;93.6;97.2;6.3;15.9;9.1;5.1;0;55.8;27;7
12290;Vaureilles;123;88.8;89.1;9.1;13.1;9.3;4.1;0;48.1;25.2;2
12291;Verrières;130;93.9;89.2;3.5;14.3;6.7;4.1;0.6;47.1;34.4;4
12292;Versols-et-Lapeyre;94;84.1;88.5;6.4;11.5;7.6;2.9;0;51.7;22.6;3
12293;Veyreau;35;85.7;78.3;7.5;11.2;5.6;8.4;3;49.6;25.5;1
12294;Vézins-de-Lévézou;189;82.4;95.2;6.7;10.9;5.5;4;0;49.2;29.1;4
12295;Viala-du-Pas-de-Jaux;33;76.9;81.3;2.6;9.2;10.5;5.3;0;43.4;34.3;2
12296;Viala-du-Tarn;150;74.3;81.2;5.1;12;10.4;8.8;1.6;51.1;28.4;6
12297;Le Vibal;116;88.9;94.8;3.5;13.8;7.9;4.2;1.3;52.8;22.8;4
